id,url,league_name,team_name,league_country
927,110576,French Ligue 2 ,Football Bourg En Bresse Peronnas 01,France
928,110744,Polish T-Mobile Ekstraklasa ,GKS Bełchatów,Poland
929,111049,Campeonato Brasileiro Série A ,Guarani,Brazil
930,110565,Polish T-Mobile Ekstraklasa ,Górnik Łęczna,Poland
931,110775,Turkish Süper Lig ,Hacettepe SK,Turkey
932,110151,Mexican Liga MX ,Jaguares de Chiapas,Mexico
933,111054,Campeonato Brasileiro Série B ,Joinville,Brazil
934,111041,Campeonato Brasileiro Série B ,Juventude,Brazil
935,101032,Turkish Süper Lig ,Kocaelispor,Turkey
936,110089,Russian Premier League ,Kuban Krasnodar,Russia
937,110935,South African Premier Division ,Mamelodi Sundowns FC,South Africa
938,101035,Turkish Süper Lig ,Manisaspor,Turkey
939,101036,Turkish Süper Lig ,Mersin İdman Yurdu,Turkey
940,110472,Czech Republic Gambrinus Liga ,Mladá Boleslav,Czech Republic
941,110106,Russian Premier League ,Mordovia Saransk,Russia
942,111048,Campeonato Brasileiro Série A ,Paraná,Brazil
943,110581,Argentina Primera División  ,Patronato,Argentina
944,111087,Polish T-Mobile Ekstraklasa ,Podbeskidzie Bielsko-Biała,Poland
945,111043,Campeonato Brasileiro Série A ,Ponte Preta,Brazil
946,110554,Argentina Primera División  ,Quilmes Atlético Club,Argentina
947,110242,Spanish Segunda División ,Racing de Ferrol,Spain
948,110710,Spanish Segunda División ,Real Madrid Castilla,Spain
949,110101,Russian Premier League ,SKA Khabarovsk,Russia
950,111058,Campeonato Brasileiro Série A ,Santa Cruz,Brazil
951,110976,Chilian Campeonato Nacional ,Santiago Wanderers,Chile
952,110225,Russian Premier League ,Saturn Ramenskoye,Russia
953,110082,International,Serbia,Serbia
954,110103,Russian Premier League ,Spartak Nalchik,Russia
955,111057,Campeonato Brasileiro Série A ,Sport Club do Recife,Brazil
956,110466,Czech Republic Gambrinus Liga ,Tescoma Zlín,Czech Republic
957,110326,French Ligue 2 ,Tours FC,France
958,110465,Czech Republic Gambrinus Liga ,Viktoria Žižkov,Czech Republic
959,110902,Spanish Segunda División ,Villarreal CF B,Spain
960,100149,Czech Republic Gambrinus Liga ,1. FC Slovácko,Czech Republic
961,100145,Czech Republic Gambrinus Liga ,1. FK Příbram,Czech Republic
962,1826,German 2. Bundesliga ,Alemannia Aachen,Germany
963,1872,Spanish Segunda División ,Alicante CF,Spain
964,1840,Italian Serie B ,Ancona,Italy
965,101008,Turkish Süper Lig ,Ankaraspor,Turkey
966,1901,Portuguese Liga ZON SAGRES ,Associação Académica de Coimbra,Portugal
967,2038,Italian Serie B ,Avellino,Italy
968,1964,English League Two ,Boston United,England
969,100852,Spanish Segunda División ,C.D. Castellón,Spain
970,1857,Spanish Segunda División ,C.P. Ejido,Spain
971,15021,Spanish Segunda División ,CE Sabadell FC,Spain
972,2057,Spanish Segunda División ,CF Ciudad de Murcia,Spain
973,1924,English League Two ,Chesterfield,England
974,15012,Spanish Segunda División ,Cultural Leonesa,Spain
975,1957,English League Two ,Darlington,England
976,101018,Turkish Süper Lig ,Diyarbakırspor,Turkey
977,1971,Holland Eredivisie ,Excelsior,Netherlands
978,100851,Spanish Segunda División ,FC Cartagena,Spain
979,100626,Holland Eredivisie ,FC Dordrecht,Netherlands
980,10023,Swiss Challenge League ,FC La Chaux-de-Fonds,Switzerland
981,1862,Swiss Super League ,FC Lausanne-Sport,Switzerland
982,8001,Belgian Jupiler Pro League ,FC Molenbeek Brussels,Belgium
983,100741,Portuguese Liga ZON SAGRES ,FC Penafiel,Portugal
984,100424,German 3. Bundesliga ,FC Rot-Weiß Erfurt,Germany
985,100994,Swiss Super League ,FC Schaffhausen,Switzerland
986,100142,Czech Republic Gambrinus Liga ,FK Baumit Jablonec,Czech Republic
987,2041,Norwegian Eliteserien ,Fredrikstad FK,Norway
988,100632,Holland Eredivisie ,Go Ahead Eagles,Netherlands
989,1941,English League Two ,Hartlepool United,England
990,100879,Spanish Segunda División ,Hércules CF,Spain
991,1841,Norwegian Eliteserien ,Hønefoss BK,Norway
992,15011,Austrian Football Bundesliga ,KSV 1919,Austria
993,1950,German 2. Bundesliga ,Kickers Offenbach,Germany
994,101032,Turkish Süper Lig ,Kocaelispor,Turkey
995,100764,Russian Premier League ,Krylya Sovetov Samara,Russia
996,10018,Portuguese Liga ZON SAGRES ,Leixões SC,Portugal
997,2015,Austrian Football Bundesliga ,Liebherr GAK,Austria
998,2026,Spanish Segunda División ,Lorca FC,Spain
999,1845,Italian Serie B ,Messina,Italy
1000,1910,Holland Eredivisie ,NEC Nijmegen,Netherlands
1001,100737,Portuguese Liga ZON SAGRES ,Naval 1° de Maio,Portugal
