id,url,league_name,team_name,league_country
36,481,Spain Primera Division ,Sevilla FC,Spain
37,69,French Ligue 1 ,AS Monaco,France
38,219,French Ligue 1 ,Olympique de Marseille,France
39,2,English Premier League ,Aston Villa,England
40,13,English Premier League ,Newcastle United,England
41,110679,German 3. Bundesliga ,Bayern München II,Germany
42,236,Portuguese Liga ZON SAGRES ,FC Porto,Portugal
43,74,French Ligue 1 ,Stade Rennais FC,France
44,237,Portuguese Liga ZON SAGRES ,Sporting CP,Portugal
45,65,French Ligue 1 ,LOSC Lille,France
46,17,English Premier League ,Southampton,England
47,39,Italian Serie A ,Atalanta,Italy
48,23,German 1. Bundesliga ,Borussia Mönchengladbach,Germany
49,50,Italian Serie A ,Parma,Italy
50,457,Spain Primera Division ,Real Sociedad,Spain
51,325,Turkish Süper Lig ,Galatasaray SK,Turkey
52,28,German 2. Bundesliga ,Hamburger SV,Germany
53,10029,German 1. Bundesliga ,TSG 1899 Hoffenheim,Germany
54,175,German 1. Bundesliga ,VfL Wolfsburg,Germany
55,326,Turkish Süper Lig ,Fenerbahçe SK,Turkey
56,190,Italian Serie A ,Brescia,Italy
57,448,Spain Primera Division ,Athletic Club de Bilbao,Spain
58,8,English League Championship ,Leeds United,England
59,1799,English Premier League ,Crystal Palace,England
60,1795,English Premier League ,Watford,England
61,166,German 1. Bundesliga ,Hertha BSC,Germany
62,211,Croatian Prva HNL ,Dinamo Zagreb,Croatia
63,46,Italian Serie A ,Lazio,Italy
64,1794,English Premier League ,Sheffield United,England
65,144,English League Championship ,Fulham,England
66,36,German 2. Bundesliga ,VfB Stuttgart,Germany
67,1842,Italian Serie A ,Cagliari,Italy
68,327,Turkish Süper Lig ,Beşiktaş JK,Turkey
69,113926,English League Two ,Salford City,England
70,78,Scottish Premiership ,Celtic,Scotland
71,72,French Ligue 1 ,OGC Nice,France
72,229,Belgian Jupiler Pro League ,RSC Anderlecht,Belgium
73,1879,Mexican Liga MX ,Club América,Mexico
74,1877,Argentina Primera División  ,Boca Juniors,Argentina
75,483,Spain Primera Division ,Villarreal CF,Spain
76,105035,International,Netherlands,Netherlands
77,31,German 1. Bundesliga ,1. FC Köln,Germany
78,101088,Argentina Primera División  ,Vélez Sarsfield,Argentina
79,1370,International,Brazil,Brazil
80,1808,English Premier League ,Brighton & Hove Albion,England
81,1335,International,France,France
82,452,Spain Primera Division ,RCD Espanyol,Spain
83,169,German 1. Bundesliga ,1. FSV Mainz 05,Germany
84,246,Holland Eredivisie ,Feyenoord,Netherlands
85,450,Spain Primera Division ,RC Celta,Spain
86,25,German 1. Bundesliga ,SC Freiburg,Germany
87,110556,Italian Serie A ,Genoa,Italy
88,1337,International,Germany,Germany
89,462,Spain Primera Division ,Real Valladolid CF,Spain
90,91,English League Championship ,Derby County,England
91,1876,Argentina Primera División  ,River Plate,Argentina
92,436,Turkish Süper Lig ,Trabzonspor,Turkey
93,1880,Mexican Liga MX ,Guadalajara,Mexico
94,453,Spain Primera Division ,RCD Mallorca,Spain
95,1806,English League Championship ,Stoke City,England
96,1790,English League One ,Portsmouth,England
97,1819,French Ligue 1 ,AS Saint-Étienne,France
98,1796,English Premier League ,Burnley,England
99,110636,German 1. Bundesliga ,Fortuna Düsseldorf,Germany
100,1386,International,Mexico,Mexico
101,189,Italian Serie A ,Bologna,Italy
102,1318,International,England,England
103,71,French Ligue 1 ,FC Nantes,France
104,14,English League Championship ,Nottingham Forest,England
105,101059,Ukrainian Premier League ,Shakhtar Donetsk,Ukraine
106,1362,International,Spain,Spain
107,54,Italian Serie A ,Torino,Italy
108,106,English League One ,Sunderland,England
109,1960,English League Championship ,Swansea City,England
110,59,French Ligue 1 ,FC Girondins de Bordeaux,France
111,100409,German 1. Bundesliga ,FC Augsburg,Germany
112,697,USA Major League Soccer ,LA Galaxy,United States
113,1878,Mexican Liga MX ,Cruz Azul,Mexico
114,673,Belgian Jupiler Pro League ,KRC Genk,Belgium
115,1369,International,Argentina,Argentina
116,1860,Spain Primera Division ,Getafe CF,Spain
117,112885,USA Major League Soccer ,Atlanta United,United States
118,112996,USA Major League Soccer ,Los Angeles FC,United States
119,1354,International,Portugal,Portugal
120,109,English League Championship ,West Bromwich Albion,England
121,86,Scottish Premiership ,Rangers FC,Scotland
122,1032,Mexican Liga MX ,Monterrey,Mexico
123,1831,German 1. Bundesliga ,1. FC Union Berlin,Germany
124,485,German 2. Bundesliga ,Hannover 96,Germany
125,1906,Holland Eredivisie ,AZ Alkmaar,Netherlands
126,1939,English League Championship ,Huddersfield Town,England
127,55,Italian Serie A ,Udinese,Italy
128,896,Swiss Super League ,FC Basel 1893,Switzerland
129,101085,Argentina Primera División  ,Racing Club,Argentina
130,1970,Mexican Liga MX ,Tigres U.A.N.L.,Mexico
131,242,Spanish Segunda División ,Deportivo de La Coruña,Spain
132,94,English League One ,Ipswich Town,England
133,1343,International,Italy,Italy
134,1028,Mexican Liga MX ,Monarcas Morelia,Mexico
135,1837,Italian Serie A ,Sampdoria,Italy
136,76,French Ligue 1 ,RC Strasbourg Alsace,France
137,1629,Campeonato Brasileiro Série A ,Grêmio,Brazil
138,674,Belgian Jupiler Pro League ,KAA Gent,Belgium
139,231,Belgian Jupiler Pro League ,Club Brugge KV,Belgium
140,101014,Turkish Süper Lig ,Medipol Başakşehir FK,Turkey
141,1325,International,Belgium,Belgium
142,1961,English League Championship ,Cardiff City,England
143,315,Russian Premier League ,PFC CSKA Moscow,Russia
144,1387,International,United States,United States
145,110062,Spanish Segunda División ,Girona FC,Spain
146,111974,Italian Serie A ,Sassuolo,Italy
147,100761,Romanian Liga I ,FCSB (Steaua),Romania
148,112809,Portuguese Liga ZON SAGRES ,Famalicão,Portugal
149,70,French Ligue 1 ,Montpellier HSC,France
150,171,German 2. Bundesliga ,1. FC Nürnberg,Germany
151,4,English League One ,Bolton Wanderers,England
152,1925,English League Championship ,Brentford,England
153,1853,Spain Primera Division ,Levante UD,Spain
154,479,Spain Primera Division ,CA Osasuna,Spain
155,101047,Ukrainian Premier League ,Dynamo Kyiv,Ukraine
156,1809,French Ligue 1 ,Toulouse Football Club,France
157,110395,Argentina Primera División  ,Club Atlético Lanús,Argentina
158,100767,Russian Premier League ,Spartak Moscow,Russia
159,111839,Chinese Super League ,Guangzhou Evergrande Taobao FC,China PR
160,573,Spanish Segunda División ,Málaga CF,Spain
161,29,German 3. Bundesliga ,1. FC Kaiserslautern,Germany
162,88,English League Championship ,Birmingham City,England
163,3,English League Championship ,Blackburn Rovers,England
164,12,English League Championship ,Middlesbrough,England
165,280,Greek Super League ,Olympiacos CFP,Greece
166,15,English League Championship ,Queens Park Rangers,England
167,33,German 3. Bundesliga ,TSV 1860 München,Germany
168,472,Spanish Segunda División ,UD Las Palmas,Spain
169,463,Spain Primera Division ,Deportivo Alavés,Spain
170,1952,English League Championship ,Hull City,England
171,100765,Russian Premier League ,Lokomotiv Moscow,Russia
172,244,Spanish Segunda División ,Real Zaragoza,Spain
173,232,Belgian Jupiler Pro League ,Standard de Liège,Belgium
174,1881,Mexican Liga MX ,U.N.A.M.,Mexico
175,1919,English League Championship ,Bristol City,England
176,121,English League Two ,Crewe Alexandra,England
177,110093,Argentina Primera División  ,Independiente,Argentina
178,347,Italian Serie A ,Lecce,Italy
179,101146,Japanese J. League Division 1 ,Vissel Kobe,Japan
180,100888,Spain Primera Division ,CD Leganés,Spain
181,110781,Mexican Liga MX ,Club León,Mexico
182,1940,English League Two ,Mansfield Town,England
183,64,French Ligue 2 ,Racing Club de Lens,France
184,1793,English League Championship ,Reading,England
185,10030,German 1. Bundesliga ,SC Paderborn 07,Germany
186,254,Austrian Football Bundesliga ,SK Rapid Wien,Austria
187,111109,International,Colombia,Colombia
188,689,USA Major League Soccer ,New York Red Bulls,United States
189,1807,English League Championship ,Sheffield Wednesday,England
190,1804,English League Two ,Bradford City,England
191,1945,English League One ,Bury,England
192,89,English League Championship ,Charlton Athletic,England
193,1882,Mexican Liga MX ,Deportivo Toluca,Mexico
194,110832,Spain Primera Division ,Granada CF,Spain
195,206,Italian Serie A ,Hellas Verona,Italy
196,1871,Polish T-Mobile Ekstraklasa ,Legia Warszawa,Poland
197,224,French Ligue 1 ,Nîmes Olympique,France
198,1861,Spanish Segunda División ,UD Almería,Spain
199,112678,Mexican Liga MX ,Atlético de San Luis,Mexico
200,113134,Mexican Liga MX ,FC Juárez,Mexico
201,110144,Mexican Liga MX ,Santos Laguna,Mexico
202,1365,International,Turkey,Turkey
203,1920,English League Two ,Oldham Athletic,England
204,1356,International,Romania,Romania
205,467,Spain Primera Division ,SD Eibar,Spain
206,1932,English League Championship ,Barnsley,England
207,1935,English League Two ,Colchester United,England
208,97,English League Championship ,Millwall,England
209,110147,Mexican Liga MX ,Pachuca,Mexico
210,1801,English League Championship ,Preston North End,England
211,503,German 2. Bundesliga ,SG Dynamo Dresden,Germany
212,1377,International,Uruguay,Uruguay
213,111822,Austrian Football Bundesliga ,Wolfsberger AC,Austria
214,62,French Ligue 2 ,En Avant de Guingamp,France
215,110329,German 2. Bundesliga ,FC St. Pauli,Germany
216,1886,International,Hungary,Hungary
217,1900,Portuguese Liga ZON SAGRES ,Moreirense FC,Portugal
218,1929,English League Two ,Plymouth Argyle,England
219,480,Spanish Segunda División ,Rayo Vallecano,Spain
220,1896,Portuguese Liga ZON SAGRES ,SC Braga,Portugal
221,266,Czech Republic Gambrinus Liga ,SK Slavia Praha,Czech Republic
222,379,French Ligue 1 ,Stade de Reims,France
223,1530,French Ligue 1 ,Angers SCO,France
224,900,Swiss Super League ,BSC Young Boys,Switzerland
225,1353,International,Poland,Poland
226,112791,Italian Serie A ,SPAL,Italy
227,267,Czech Republic Gambrinus Liga ,Sparta Praha,Czech Republic
228,111701,UAE Arabian Gulf League ,Al Ain FC,United Arab Emirates
229,110816,Romanian Liga I ,CFR Cluj,Romania
230,1944,English League Two ,Cambridge United,England
231,110569,French Ligue 1 ,Dijon FCO,France
232,68,French Ligue 1 ,FC Metz,France
233,873,Polish T-Mobile Ekstraklasa ,Lech Poznań,Poland
234,1958,English League Two ,Leyton Orient,England
235,393,Greek Super League ,PAOK,Greece
236,112540,Chinese Super League ,Shanghai SIPG FC,China PR
237,112828,USA Major League Soccer ,New York City FC,United States
238,111817,French Ligue 2 ,Paris FC,France
239,110532,German 3. Bundesliga ,SV Waldhof Mannheim,Germany
240,561,English League Two ,Forest Green Rovers,England
241,1917,English League Championship ,Wigan Athletic,England
242,192,Italian Serie B ,Chievo Verona,Italy
243,1331,International,Denmark,Denmark
244,110704,Spanish Segunda División ,FC Barcelona B,Spain
245,111239,German 3. Bundesliga ,FC Ingolstadt 04,Germany
246,110150,Mexican Liga MX ,Querétaro,Mexico
247,378,French Ligue 1 ,Stade Brestois 29,France
248,110145,Mexican Liga MX ,Tiburones Rojos de Veracruz,Mexico
249,1887,Portuguese Liga ZON SAGRES ,Vitória Guimarães,Portugal
250,605,Saudi Abdul L. Jameel League ,Al Hilal,Saudi Arabia
251,101114,Mexican Liga MX ,Club Atlas,Mexico
252,111678,Mexican Liga MX ,Club Tijuana,Mexico
253,688,USA Major League Soccer ,DC United,United States
254,113149,USA Major League Soccer ,FC Cincinnati,United States
255,1923,English League Championship ,Luton Town,England
256,456,Spanish Segunda División ,Racing Santander,Spain
257,230,Belgian Jupiler Pro League ,Royal Antwerp FC,Belgium
258,1013,Argentina Primera División  ,San Lorenzo de Almagro,Argentina
259,57,French Ligue 2 ,AJ Auxerre,France
260,1816,French Ligue 1 ,Amiens SC,France
261,1926,English League One ,Blackpool,England
262,1800,English League One ,Coventry City,England
263,111112,International,Côte d'Ivoire,Ivory Coast
264,1915,Holland Eredivisie ,FC Groningen,Netherlands
265,819,Danish Superliga ,FC København,Denmark
266,217,French Ligue 2 ,FC Lorient,France
267,1889,Portuguese Liga ZON SAGRES ,Os Belenenses,Portugal
268,111144,USA Major League Soccer ,Seattle Sounders FC,United States
269,1909,Holland Eredivisie ,Vitesse,Netherlands
270,111235,German 2. Bundesliga ,1. FC Heidenheim 1846,Germany
271,1322,International,Austria,Austria
272,92,English League Two ,Grimsby Town,England
273,112254,English League Two ,Newport County,England
274,1938,English League One ,Peterborough United,England
275,110839,Spanish Segunda División ,SD Huesca,Spain
276,209,Austrian Football Bundesliga ,SK Sturm Graz,Austria
277,160,German 2. Bundesliga ,VfL Bochum 1848,Germany
278,1803,English League Two ,Walsall,England
279,112026,Italian Serie B ,Benevento,Italy
280,111459,International,Chile,Chile
281,1413,International,China PR,China PR
282,110980,Chilian Campeonato Nacional ,Colo-Colo,Chile
283,1746,Italian Serie B ,Empoli,Italy
284,27,German 3. Bundesliga ,FC Hansa Rostock,Germany
285,1908,Holland Eredivisie ,FC Twente,Netherlands
286,252,Austrian Football Bundesliga ,LASK Linz,Austria
287,111091,Polish T-Mobile Ekstraklasa ,Lechia Gdańsk,Poland
288,1930,English League Two ,Northampton Town,England
289,1951,English League One ,Oxford United,England
290,110827,Spanish Segunda División ,Real Oviedo,Spain
291,110975,Chilian Campeonato Nacional ,Universidad Católica,Chile
292,1367,International,Wales,Wales
293,101100,Colombian Liga Postobón ,Atlético Nacional,Colombia
294,110404,Argentina Primera División  ,Club Atlético Banfield,Argentina
295,101121,Mexican Liga MX ,Club Necaxa,Mexico
296,112093,Japanese J. League Division 1 ,Gamba Osaka,Japan
297,101147,Japanese J. League Division 1 ,Kashima Antlers,Japan
298,1738,French Ligue 2 ,Le Havre AC,France
299,1825,German 3. Bundesliga ,MSV Duisburg,Germany
300,143,English League Two ,Exeter City,England
301,167,German 3. Bundesliga ,KFC Uerdingen 05,Germany
302,1738,French Ligue 2 ,Le Havre AC,France
303,1053,Campeonato Brasileiro Série A ,Santos,Brazil
304,278,Greek Super League ,AEK Athens,Greece
305,112259,English League One ,AFC Wimbledon,England
306,1903,Holland Eredivisie ,FC Utrecht,Netherlands
307,320,Swedish Allsvenskan ,Malmö FF,Sweden
308,1798,English League One ,Milton Keynes Dons,England
309,1375,International,Paraguay,Paraguay
310,1359,International,Scotland,Scotland
311,1949,English League Two ,Scunthorpe United,England
312,1934,English League Two ,Swindon Town,England
313,567,Campeonato Brasileiro Série A ,Fluminense,Brazil
314,576,German 2. Bundesliga ,Holstein Kiel,Germany
315,101101,Colombian Liga Postobón ,Junior FC,Colombia
316,1959,English League Two ,Macclesfield Town,England
317,1884,Greek Super League ,Panathinaikos FC,Greece
318,111400,Australian Hyundai A-League ,Sydney FC,Australia
319,111455,International,Canada,Canada
320,112378,Chinese Super League ,Dalian YiFang FC,China PR
321,1788,Danish Superliga ,FC Nordsjælland,Denmark
322,113180,Romanian Liga I ,FC Viitorul,Romania
323,256,Austrian Football Bundesliga ,FK Austria Wien,Austria
324,100325,Finnish Veikkausliiga ,HJK Helsinki,Finland
325,110482,German 3. Bundesliga ,Hallescher FC,Germany
326,110724,Belgian Jupiler Pro League ,KV Mechelen,Belgium
327,149,English League One ,Lincoln City,England
328,111399,Australian Hyundai A-League ,Perth Glory,Australia
329,1928,English League Two ,Port Vale,England
330,111651,USA Major League Soccer ,Toronto FC,United States
331,15048,English League One ,Tranmere Rovers,England
332,114023,Australian Hyundai A-League ,Western United FC,Australia
333,1907,Holland Eredivisie ,Willem II,Netherlands
334,1873,Polish T-Mobile Ekstraklasa ,Wisła Kraków,Poland
335,1854,Spanish Segunda División ,Albacete BP,Spain
336,1035,Campeonato Brasileiro Série A ,Atlético Mineiro,Brazil
337,110406,Argentina Primera División  ,Club Atlético Colón,Argentina
338,100757,Romanian Liga I ,Dinamo Bucureşti,Romania
339,101083,Argentina Primera División  ,Estudiantes de La Plata,Argentina
340,1802,English League One ,Gillingham,England
341,80,Scottish Premiership ,Heart of Midlothian,Scotland
342,1048,Campeonato Brasileiro Série A ,Internacional,Brazil
343,110745,Polish T-Mobile Ekstraklasa ,Jagiellonia Białystok,Poland
344,111730,Japanese J. League Division 1 ,Kawasaki Frontale,Japan
345,357,English League Two ,Morecambe,England
346,1352,International,Norway,Norway
347,744,Portuguese Liga ZON SAGRES ,Rio Ave FC,Portugal
348,1913,Holland Eredivisie ,SC Heerenveen,Netherlands
349,680,Belgian Jupiler Pro League ,Sint-Truidense VV,Belgium
350,361,English League Two ,Stevenage,England
351,1363,International,Sweden,Sweden
352,15029,Chilian Campeonato Nacional ,Universidad de Chile,Chile
353,308,Romanian Liga I ,Universitatea Craiova,Romania
354,111487,International,Venezuela,Venezuela
355,487,German 2. Bundesliga ,VfL Osnabrück,Germany
356,101151,Japanese J. League Division 1 ,Yokohama F. Marinos,Japan
357,112139,Saudi Abdul L. Jameel League ,Al Nassr,Saudi Arabia
358,111710,Argentina Primera División  ,Defensa y Justicia,Argentina
359,112606,USA Major League Soccer ,Orlando City SC,United States
360,100831,Spanish Segunda División ,AD Alcorcón,Spain
361,110065,Spanish Segunda División ,CF Fuenlabrada,Spain
362,110890,English League Two ,Crawley Town,England
363,111710,Argentina Primera División  ,Defensa y Justicia,Argentina
364,710,Swedish Allsvenskan ,Djurgårdens IF,Sweden
365,110500,German 3. Bundesliga ,Eintracht Braunschweig,Germany
366,319,Swedish Allsvenskan ,IFK Göteborg,Sweden
367,111108,International,Peru,Peru
368,110738,Italian Serie B ,Pisa,Italy
369,110746,Polish T-Mobile Ekstraklasa ,Pogoń Szczecin,Poland
370,111560,Belgian Jupiler Pro League ,Royal Excel Mouscron,Belgium
371,1357,International,Russia,Russia
372,127,English League One ,Shrewsbury,England
373,1954,English League One ,Southend United,England
374,210,French Ligue 2 ,Stade Malherbe Caen,France
375,1364,International,Switzerland,Switzerland
376,205,Italian Serie B ,Venezia FC,Italy
377,614,French Ligue 2 ,AC Ajaccio,France
378,433,Swedish Allsvenskan ,AIK,Sweden
379,77,Scottish Premiership ,Aberdeen,Scotland
380,112387,Saudi Abdul L. Jameel League ,Al Ahli,Saudi Arabia
381,110734,Italian Serie B ,Crotone,Italy
382,110591,German 3. Bundesliga ,FC Carl Zeiss Jena,Germany
383,226,French Ligue 2 ,FC Sochaux-Montbéliard,France
384,894,Swiss Super League ,FC Zürich,Switzerland
385,110592,German 3. Bundesliga ,FSV Zwickau,Germany
386,708,Swedish Allsvenskan ,Hammarby IF,Sweden
387,112224,Australian Hyundai A-League ,Melbourne City FC,Australia
388,110396,Argentina Primera División  ,Newell's Old Boys,Argentina
389,199,Italian Serie B ,Perugia,Italy
390,10031,Portuguese Liga ZON SAGRES ,Portimonense SC,Portugal
391,111140,USA Major League Soccer ,Portland Timbers,United States
392,110152,Mexican Liga MX ,Puebla FC,Mexico
393,1355,International,Republic of Ireland,Republic of Ireland
394,2023,Spanish Segunda División ,SD Ponferradina,Spain
395,110502,German 2. Bundesliga ,SV Darmstadt 98,Germany
396,110597,German 3. Bundesliga ,SV Meppen,Germany
397,110955,Chinese Super League ,Shanghai Greenland Shenhua FC,China PR
398,101041,Turkish Süper Lig ,Sivasspor,Turkey
399,172,German 3. Bundesliga ,SpVgg Unterhaching,Germany
400,100646,Holland Eredivisie ,Sparta Rotterdam,Netherlands
401,111132,Rep. Ireland Airtricity League ,UCD AFC,Republic of Ireland
402,110645,German 3. Bundesliga ,Viktoria Köln,Germany
403,100769,Russian Premier League ,Zenit St. Petersburg,Russia
404,113142,Turkish Süper Lig ,Alanyaspor,Turkey
405,112516,Portuguese Liga ZON SAGRES ,CD Tondela,Portugal
406,113677,Campeonato Brasileiro Série A ,CSA - AL,Brazil
407,111465,International,Ecuador,Ecuador
408,101150,Japanese J. League Division 1 ,FC Tokyo,Japan
409,111657,Italian Serie B ,Frosinone,Italy
410,101025,Turkish Süper Lig ,Gençlerbirliği SK,Turkey
411,112978,Chinese Super League ,Hebei China Fortune FC,China PR
412,112162,Chinese Super League ,Jiangsu Suning FC,China PR
413,111339,Turkish Süper Lig ,Kasimpaşa SK,Turkey
414,111397,Australian Hyundai A-League ,Melbourne Victory,Australia
415,111659,French Ligue 2 ,Rodez Aveyron Football,France
416,110580,Argentina Primera División  ,Rosario Central,Argentina
417,110373,Italian Serie B ,US Salernitana 1919,Italy
418,111575,Japanese J. League Division 1 ,Urawa Red Diamonds,Japan
419,110456,French Ligue 2 ,Valenciennes FC,France
420,260,Spanish Segunda División ,CD Tenerife,Spain
421,1936,English League Two ,Cheltenham Town,England
422,1815,French Ligue 2 ,Clermont Foot 63,France
423,159,German 2. Bundesliga ,DSC Arminia Bielefeld,Germany
424,837,Rep. Ireland Airtricity League ,Dundalk,Republic of Ireland
425,1516,Danish Superliga ,FC Midtjylland,Denmark
426,1334,International,Finland,Finland
427,634,Holland Eredivisie ,Fortuna Sittard,Netherlands
428,101025,Turkish Süper Lig ,Gençlerbirliği SK,Turkey
429,81,Scottish Premiership ,Hibernian,Scotland
430,1477,Korean K League Classic ,Jeonbuk Hyundai Motors,Korea Republic
431,100081,Belgian Jupiler Pro League ,KV Kortrijk,Belgium
432,200,Italian Serie B ,Pescara,Italy
433,298,Norwegian Eliteserien ,Rosenborg BK,Norway
434,531,German 3. Bundesliga ,SC Preußen Münster,Germany
435,165,German 2. Bundesliga ,SpVgg Greuther Fürth,Germany
436,696,USA Major League Soccer ,Sporting Kansas City,United States
437,1933,English League One ,Wycombe Wanderers,England
438,271,Danish Superliga ,Aarhus GF,Denmark
439,111768,Chinese Super League ,Beijing Sinobo Guoan FC,China PR
440,1898,Portuguese Liga ZON SAGRES ,Boavista FC,Portugal
441,15015,English League One ,Burton Albion,England
442,477,Spanish Segunda División ,CD Numancia,Spain
443,694,USA Major League Soccer ,Colorado Rapids,United States
444,687,USA Major League Soccer ,Columbus Crew SC,United States
445,1968,Spanish Segunda División ,Cádiz CF,Spain
446,468,Spanish Segunda División ,Elche CF,Spain
447,112627,French Ligue 2 ,FC Chambly Oise,France
448,695,USA Major League Soccer ,FC Dallas,United States
449,506,German 2. Bundesliga ,FC Erzgebirge Aue,Germany
450,110197,German 3. Bundesliga ,FC Würzburger Kickers,Germany
451,110776,Turkish Süper Lig ,Gazişehir Gaziantep F.K.,Turkey
452,100634,Holland Eredivisie ,Heracles Almelo,Netherlands
453,702,Swedish Allsvenskan ,IFK Norrköping,Sweden
454,111466,International,India,India
455,1739,French Ligue 2 ,Le Mans FC,France
456,112092,Japanese J. League Division 1 ,Nagoya Grampus,Japan
457,1955,English League One ,Rochdale,England
458,15005,Belgian Jupiler Pro League ,SV Zulte-Waregem,Belgium
459,111928,USA Major League Soccer ,San Jose Earthquakes,United States
460,306,Rep. Ireland Airtricity League ,Shamrock Rovers,Republic of Ireland
461,111773,Chinese Super League ,Shenzhen FC,China PR
462,110977,Chilian Campeonato Nacional ,Unión Española,Chile
463,110588,German 3. Bundesliga ,1. FC Magdeburg,Germany
464,111019,Argentina Primera División  ,Argentinos Juniors,Argentina
465,1395,International,Cameroon,Cameroon
466,1480,English League Two ,Carlisle United,England
467,112965,Argentina Primera División  ,Central Córdoba,Argentina
468,111993,Italian Serie B ,Cittadella,Italy
469,110747,Polish T-Mobile Ekstraklasa ,Cracovia,Poland
470,111130,International,Egypt,Egypt
471,1892,Portuguese Liga ZON SAGRES ,FC Paços de Ferreira,Portugal
472,110770,Swiss Super League ,FC Sion,Switzerland
473,112429,Chinese Super League ,Guangzhou R&F FC,China PR
474,110929,South African Premier Division ,Kaizer Chiefs,South Africa
475,111139,USA Major League Soccer ,Montreal Impact,United States
476,111086,Polish T-Mobile Ekstraklasa ,Piast Gliwice,Poland
477,1905,Holland Eredivisie ,RKC Waalwijk,Netherlands
478,111724,Chinese Super League ,Shandong Luneng TaiShan FC,China PR
479,112535,Chilian Campeonato Nacional ,Unión La Calera,Chile
480,1395,International,Cameroon,Cameroon
481,507,German 3. Bundesliga ,Chemnitzer FC,Germany
482,693,USA Major League Soccer ,Chicago Fire,United States
483,142,English League One ,Doncaster Rovers,England
484,1338,International,Greece,Greece
485,420,Polish T-Mobile Ekstraklasa ,Górnik Zabrze,Poland
486,691,USA Major League Soccer ,New England Revolution,United States
487,459,Spanish Segunda División ,Real Sporting de Gijón,Spain
488,650,Holland Eredivisie ,ADO Den Haag,Netherlands
489,1823,French Ligue 2 ,AS Nancy Lorraine,France
490,110313,English League One ,Accrington Stanley,England
491,111393,Australian Hyundai A-League ,Adelaide United,Australia
492,101097,Chilian Campeonato Nacional ,Audax Italiano,Chile
493,1415,International,Australia,Australia
494,111395,Australian Hyundai A-League ,Brisbane Roar,Australia
495,112584,Chilian Campeonato Nacional ,CD Everton de Viña del Mar,Chile
496,112116,Chilian Campeonato Nacional ,CD O'Higgins,Chile
497,112124,Italian Serie B ,Castellammare di Stabia,Italy
498,111396,Australian Hyundai A-League ,Central Coast Mariners,Australia
499,101148,Japanese J. League Division 1 ,Cerezo Osaka,Japan
500,112670,Argentina Primera División  ,Club Atlético Talleres,Argentina
501,568,Campeonato Brasileiro Série A ,Cruzeiro,Brazil
502,112260,English League One ,Fleetwood Town,England
503,1888,Portuguese Liga ZON SAGRES ,Gil Vicente FC,Portugal
504,101084,Argentina Primera División  ,Gimnasia y Esgrima La Plata,Argentina
505,112444,Japanese J. League Division 1 ,Hokkaido Consadole Sapporo,Japan
506,101103,Colombian Liga Postobón ,Independiente Medellín,Colombia
507,101104,Colombian Liga Postobón ,Independiente Santa Fe,Colombia
508,2013,Belgian Jupiler Pro League ,KAS Eupen,Belgium
509,101020,Turkish Süper Lig ,Kayserispor,Turkey
510,101007,Turkish Süper Lig ,MKE Ankaragücü,Turkey
511,417,Norwegian Eliteserien ,Molde FK,Norway
512,111398,Australian Hyundai A-League ,Newcastle Jets,Australia
513,110081,International,Northern Ireland,Northern Ireland
514,110930,South African Premier Division ,Orlando Pirates,South Africa
515,112134,USA Major League Soccer ,Philadelphia Union,United States
516,1797,English League One ,Rotherham United,England
517,111379,German 3. Bundesliga ,SG Sonnenhof Großaspach,Germany
518,492,German 2. Bundesliga ,SV Wehen Wiesbaden,Germany
519,113160,Japanese J. League Division 1 ,Sagan Tosu,Japan
520,101149,Japanese J. League Division 1 ,Shimizu S-Pulse,Japan
521,100804,Scottish Premiership ,St. Johnstone FC,Scotland
522,112410,Italian Serie B ,Trapani,Italy
523,110468,Czech Republic Gambrinus Liga ,Viktoria Plzeň,Czech Republic
524,113147,Italian Serie B ,Virtus Entella,Italy
525,15040,Austrian Football Bundesliga ,WSG Tirol,Austria
526,112541,Chinese Super League ,Wuhan Zall,China PR
527,101099,Colombian Liga Postobón ,América de Cali,Colombia
528,112847,Romanian Liga I ,Astra Giurgiu,Romania
529,101033,Turkish Süper Lig ,Atiker Konyaspor,Turkey
530,110854,Spanish Segunda División ,CF Reus Deportiu,Spain
531,112705,Chilian Campeonato Nacional ,Coquimbo Unido,Chile
532,112168,Italian Serie B ,Cosenza,Italy
533,111722,Colombian Liga Postobón ,Deportes Tolima,Colombia
534,101102,Colombian Liga Postobón ,Deportivo Cali,Colombia
535,111821,Austrian Football Bundesliga ,FC Admira Wacker Mödling,Austria
536,114147,Romanian Liga I ,FC Hermannstadt,Romania
537,113183,Japanese J. League Division 1 ,Oita Trinita,Japan
538,113958,Italian Serie B ,Pordenone,Italy
539,112075,Austrian Football Bundesliga ,SKN St. Pölten,Austria
540,543,German 2. Bundesliga ,SSV Jahn Regensburg,Germany
541,820,Danish Superliga ,Aalborg BK,Denmark
542,101033,Turkish Süper Lig ,Atiker Konyaspor,Turkey
543,305,Rep. Ireland Airtricity League ,Bohemian FC,Republic of Ireland
544,269,Danish Superliga ,Brøndby IF,Denmark
545,1327,International,Bulgaria,Bulgaria
546,1457,Turkish Süper Lig ,Denizlispor,Turkey
547,294,French Ligue 2 ,ESTAC Troyes,France
548,1805,French Ligue 2 ,Grenoble Foot 38,France
549,101026,Turkish Süper Lig ,Göztepe SK,Turkey
